OBJECTID,NAME,state,coyote_year,coyote_year_recl,coyote_James,dif_betw_James_agencies,xcoord,ycoord,yr.since.coy.1980,yr.since.coy.1985,yr.since.coy.1990,yr.since.coy.1995,yr.since.coy.2000,yr.since.coy.2005,yr.since.coy.2010,yr.since.coy.2014,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2014,pop.growth.2005.2010,WHITE,BLACK,MED_AGE,Area_sqkm,Pop.dens.2010,BIO5_median,BIO6_median,BIO7_median,BIO12_median,BIO15_median,BIO17_median,altitude,snow_mean,OPEN_WATER.1992,LOW_INTENS.1992,high.developed.1992,DECIDUOUS_.1992,EVERGREEN.1992,MIXED_FORE.1992,SHRUBLAND.1992,grass.pastures.1992,ROW_CROPS.1992,WOODY_WETL.1992,HERBACEOUS_WETL.1992,water.2001,devel.21.22.2001,devel.23.24.2001,decidious.f.2001,evergreen.2001,mixed.f.2001,shrub.2001,grass.pastures.2001,crops.2001,woody.wetlands.2001,herbaceous.wetlands.2001,water.2006,devel.21.22.2006,devel.23.24.2006,decidious.f.2006,evergreen.2006,mixed.f.2006,shrub.2006,grass.pastures.2006,crop.2006,woody.wetlands.2006,herbaceous.wetlands.2006,tree.canopy_mean.2011,water.2011,decidious.f.2011,evergreen.2011,mixed.f.2011,shrub.2011,grass.pasture.2011,crops.2011,woody.wetl.2011,herbaceous.wetlands.2011,devel.21.22.2011,devel.23.24.2011,NPPmedian,NPPstdev,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
1866,Oswego,New York,1965,1965,1970,5,-76.14,43.43,15,20,25,30,35,40,45,49,113901,116820,121785,123972,122477,122640,122114,120913,0.999140729,117632,972,38.3,2639.17,46.268,265,-107,375,1093,12,237,175.9,88.81,7,0.93,0.72,45.99,1.8,14.44,0,18.76,2.91,6.9,0.22,7.46,3.96,0.48,34.65,8.73,2.41,10.49,13.8,4.06,12.77,1.13,7.463,3.958,0.484,34.646,8.734,2.409,10.495,13.797,4.057,12.772,1.125,51.388,7.351,34.573,8.697,2.387,10.385,13.784,4.021,12.824,1.345,3.993,0.551,1152.333374,107.5231786,275,237,222,261,229,183,202,209,210,228,194,231,227,269,207,178,162,154,180,193,252,316,373,250,243,249,379,439,396,520,552,773,879,1084,1077,1353,1474,1772,2042,1749,1338,1799,1712,1863,1949,2158,2412,2110,2206,1575,1220,1425,1806,1912,2349,2115,2275,2360,2709,2857,2352,2047,
1902,Burke,North Carolina,1985,1985,1990,5,-81.7,35.75,0,0,5,10,15,20,25,29,72504,74448,75740,83235,89353,89526,90771,89486,1.002765971,76716,6012,41.2,1351.7,67.258,309,-30,338,1278,9,284,456.02,5.23,1.48,4.02,1.97,31.48,26,24.34,0,4.17,3.99,0.45,0.06,1.42,13.16,0.74,50.45,14.04,2.92,3.04,12.83,0.12,0.37,0,1.424,13.165,0.738,50.453,14.044,2.919,3.038,12.83,0.122,0.367,0.005,74.644,1.427,49.21,13.753,2.756,4.664,12.712,0.099,0.359,0.027,13.141,0.922,1498.666626,98.87980532,,,,,,,,,,,,,,,,,,,,,,,272,311,312,383,345,410,539,596,577,616,615,647,716,742,762,926,791,836,885,998,906,791,774,811,600,669,599,627,630,689,689,676,669,665,676,769,620,777,731,811,
2319,Allendale,South Carolina,1985,1985,1990,5,-81.35,32.98,0,0,5,10,15,20,25,29,10700,11096,11727,11760,11193,11021,10351,9695,0.987534464,2465,7672,38.7,1103.11,9.445,334,15,319,1215,24,215,50.13,1.43,0.8,0.38,0.37,8.15,22.73,7.02,0,3.17,29.63,21.23,0.47,0.81,3.97,0.22,1.18,28.31,1.92,9.84,10.05,13.5,28.08,1.33,0.809,3.969,0.219,1.184,28.306,1.92,9.836,10.052,13.501,28.083,1.331,62.73,0.815,1.068,23.189,1.598,15.25,10.367,13.063,27.718,1.802,3.97,0.277,1266.333252,195.4669592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4261,3557,2658,4907,3052,3086,2761,2516,2475,2964,1959,,
2353,Oconee,South Carolina,1985,1985,1990,5,-83.06,34.75,0,0,5,10,15,20,25,29,48611,52176,57494,61707,66434,70581,74359,75192,1.010483315,65177,5613,43.4,1791.64,41.455,312,-14,326,1515,12,327,337.55,2.07,7,1.75,0.8,30.22,24.07,21.21,0,8.69,3.68,0.47,0.07,7.29,8.64,0.69,44.05,14.97,3.71,0.75,17.6,0.05,0.38,0,7.288,8.637,0.691,44.049,14.967,3.706,0.745,17.6,0.051,0.385,0,66.591,7.322,43.652,14.436,3.581,1.456,17.41,0.046,0.37,0.041,9.124,0.908,1428,163.2364421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,514,658,1734,853,831,960,818,975,919,1147,,
1921,Duplin,North Carolina,1986,1990,1990,4,-77.93,34.93,0,0,4,9,14,19,24,28,40952,40541,39995,44793,49236,53445,58728,59882,1.01903154,33449,14773,37.7,2073.93,28.21,317,0,317,1308,28,234,29.56,2.53,0.28,0.64,0.47,7.66,25.33,7.97,0,5.29,30.84,20.45,0.12,0.33,4.23,0.2,0.17,17.99,3.86,11.41,2.22,35.42,22.93,1.12,0.329,4.229,0.2,0.172,17.988,3.86,11.405,2.216,35.422,22.925,1.121,49.68,0.363,0.155,14.947,3.305,12.775,4.151,35.372,22.174,1.868,4.242,0.225,1163.166748,211.145261,,,,,,,,,,,,,,,,,,,,,,,213,246,324,299,336,419,529,679,630,628,724,870,1092,1158,1271,1189,1275,1440,1297,1193,1127,1488,1530,1551,1666,1718,1570,1710,1730,1751,1700,1710,1833,1665,1688,1659,1680,1635,1332,1496,
1932,Halifax,North Carolina,1986,1990,1990,4,-77.66,36.25,0,0,4,9,14,19,24,28,55076,55104,55516,58187,57306,55860,54562,52970,0.99530886,21890,29109,41.6,1895.23,28.857,318,-22,341,1138,15,236,48.12,4.78,0.69,1.76,1,25.22,18.79,7.5,0,5.78,22.84,13.96,0.4,0.67,6.62,0.3,15.95,18.69,3.18,3.05,10.52,23.82,16.06,0.97,0.666,6.625,0.297,15.95,18.689,3.182,3.047,10.524,23.82,16.06,0.969,60.06,0.68,14.978,17.449,2.616,7.063,9.219,23.927,15.585,1.396,6.624,0.355,1139,168.0639638,,,,,,,,,,,,,,,,,,,,,,,1026,1305,1154,1087,619,977,1090,1219,1259,1188,1695,1871,1855,1920,1813,2112,2206,2550,2242,2217,2174,1891,2270,2330,2533,2616,1911,2507,2555,2544,2753,2570,2799,2502,2706,2326,2455,2504,1801,2056,
1938,Hyde,North Carolina,1986,1990,1990,4,-76.25,35.53,0,0,4,9,14,19,24,28,5873,5834,5411,5365,5833,5733,5807,5676,1.002568319,3718,1836,41.3,1677.33,3.464,311,7,304,1329,21,271,5.21,3.57,15.76,0.09,0.12,0.68,7.3,1.01,0,2.81,25.45,40.25,6.34,15.08,2.61,0.04,0.02,2.55,0.08,0.8,0.38,26.53,39.85,11.24,15.077,2.608,0.041,0.022,2.553,0.08,0.803,0.379,26.531,39.849,11.238,46.837,15.042,0.015,1.717,0.055,1.565,0.483,26.572,37.51,13.524,2.594,0.062,1607.333374,193.5859922,,,,,,,,,,,,,,,,,,,,,,,642,725,526,531,333,499,476,521,542,501,741,866,758,815,897,1055,1196,1304,1078,1001,981,864,1143,919,962,1047,892,883,974,924,949,1049,1051,979,970,888,870,828,713,562,
1965,Polk,North Carolina,1996,2000,2000,4,-82.17,35.28,0,0,0,0,4,9,14,18,12984,14025,14458,16544,18403,19557,20465,20357,1.009117883,18633,918,49,607.2,33.778,313,-22,333,1389,9,319,373.55,3.81,0.3,1.91,0.95,43.52,21.46,18.05,0,6.81,4.91,0.13,0.01,0.46,9.1,0.22,53.57,13.24,1.4,0.84,18.09,0.07,1.08,0,0.464,9.103,0.219,53.569,13.245,1.396,0.844,18.086,0.073,1.076,0,73.081,0.475,52.586,11.979,1.332,3.357,18.185,0.069,1.023,0.037,9.087,0.324,1526.333374,69.01510239,,,,,,,,,,,,,,,,,,,,,,,14,29,29,27,41,38,52,64,89,105,128,180,182,225,241,202,197,208,186,224,230,169,252,354,307,357,305,375,382,371,307,364,451,392,390,429,511,500,403,501,
2080,Hocking,Ohio,1946,1950,1950,4,-82.48,39.49,34,39,44,49,54,59,64,68,24304,24463,25533,27443,28262,29058,29374,28725,1.002165561,28639,217,40.9,1115.82,26.33,291,-81,371,1023,20,199,283.68,20.78,0.54,0.48,0.39,68.66,6.14,1.77,0,15.05,5.48,0.06,0.1,0.42,6.08,0.26,73.52,5.59,0.02,0.35,9.7,3,0.04,0.01,0.424,6.075,0.257,73.524,5.592,0.016,0.352,9.702,3,0.044,0.009,70.431,0.429,73.057,5.353,0.013,0.559,9.988,3.01,0.043,0.009,6.113,0.358,1360.5,91.33007481,,,,,,,,,,,,,,,,,,,,,,,,,,,,507,571,651,728,609,641,749,785,697,878,997,1177,1221,1491,1536,1511,1443,1440,1916,1712,1795,1942,1790,1692,1645,2000,1750,1750,1880,1581,1664,1585,1326,1201,1610,
2325,Calhoun,South Carolina,1986,1990,1990,4,-80.77,33.67,0,0,4,9,14,19,24,28,12206,12169,12753,13824,15192,15212,15126,14878,0.998866748,8177,6459,43.4,1017.61,14.912,331,12,319,1187,23,216,72.33,1.41,2.38,0.4,0.46,14.42,24.12,11.82,0,3.09,28.31,10.62,0.5,2.51,5.32,0.25,3.38,21.02,1.06,11.83,8.34,20.1,24.58,0.98,2.513,5.318,0.246,3.375,21.025,1.065,11.833,8.34,20.096,24.578,0.975,56.966,2.511,3.115,17.741,0.918,15.507,8.446,19.856,24.231,1.276,5.348,0.299,1019.333313,188.3116605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2254,2298,2477,3634,1814,2755,2264,2492,2125,2603,1774,,
2329,Chesterfield,South Carolina,1986,1990,1990,4,-80.16,34.64,0,0,4,9,14,19,24,28,38161,38350,38575,40371,42911,44766,46665,46125,1.008343716,29352,15253,39.3,2095.19,22.305,322,-6,329,1177,18,238,100.24,2.72,0.9,0.6,0.5,18.2,24.45,12.18,0,3.1,24.28,11.22,0.01,1.02,6.5,0.34,12.21,27.81,2.77,3.94,21.07,9.29,13.89,0.42,1.016,6.497,0.337,12.207,27.807,2.768,3.945,21.073,9.287,13.887,0.416,56.434,1.029,12.594,26.179,2.445,6.701,19.717,9.286,13.647,0.634,6.506,0.362,1219,117.1026205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2856,2197,2725,2897,2712,2480,2254,1984,2346,3214,1782,,
2330,Clarendon,South Carolina,1986,1990,1990,4,-80.21,33.67,0,0,4,9,14,19,24,28,27464,27625,28450,30238,32528,33847,34944,34113,1.006399673,16445,17504,41.5,1798.46,19.445,330,6,324,1192,24,216,33.6,1.19,10.39,0.6,0.53,12.11,14,8.1,0,2.42,28.24,17.31,0.5,10.38,5.38,0.14,0.83,14.67,0.9,6.88,9.62,19.16,29.89,1.66,10.384,5.377,0.138,0.828,14.667,0.903,6.879,9.622,19.161,29.891,1.658,50.863,10.434,0.743,12.447,0.761,8.791,10.167,18.974,29.354,2.1,5.403,0.186,1133.5,156.9346035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2445,2386,3903,2960,3845,2402,2246,2493,2478,2924,2239,,
2341,Hampton,South Carolina,1986,1990,1990,4,-81.14,32.78,0,0,4,9,14,19,24,28,18159,18052,18186,20178,21344,21109,21049,20405,0.999430875,8999,11359,38.5,1453.47,14.51,334,19,314,1239,28,211,30.93,1.34,0.41,0.5,0.35,5.53,27.49,6.59,0,2.49,24.51,26.75,0.42,0.34,4.61,0.25,0.79,26.06,0.59,10.64,8.89,11.06,34.1,1.9,0.339,4.61,0.254,0.795,26.06,0.586,10.644,8.889,11.059,34.1,1.902,68.809,0.3,0.714,22.455,0.507,15.596,8.224,10.246,33.894,2.249,4.608,0.271,1398.666626,189.3222744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4745,5552,4387,2427,5180,3494,3193,3618,3081,3666,3122,,
2343,Jasper,South Carolina,1986,1990,1990,4,-81.03,32.44,0,0,4,9,14,19,24,28,14504,14782,15487,17511,20721,21845,24939,27170,1.026846193,10658,11406,34.6,1729.46,14.326,330,28,302,1261,32,206,16.5,1.56,4.41,0.4,0.48,5.05,30.41,6.09,0,0.91,7.85,31.06,8.03,2.74,3.7,0.21,0.55,25.52,0.98,9.79,4.56,2.46,38.02,10.16,2.736,3.701,0.213,0.545,25.516,0.978,9.792,4.56,2.461,38.017,10.16,66.139,2.832,0.491,21.427,0.856,13.223,4.844,2.248,37.363,10.717,4.084,0.382,1588.166626,169.1860734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3107,2163,2868,2351,2835,2056,2072,2430,2082,2079,1826,,
2348,Lexington,South Carolina,1986,1990,1990,4,-81.27,33.9,0,0,4,9,14,19,24,28,140353,151809,167526,193548,216873,235176,263406,277888,1.022931454,208023,37522,37.7,1976.7,132.742,331,1,330,1217,20,233,122.34,1.48,7.61,3.74,3.82,16.64,25.2,11.95,0,2.58,20.4,3.98,0.15,7.57,14.5,2.44,10.33,21.14,2.78,7.21,16.43,8.06,7.89,0.32,7.574,14.501,2.438,10.328,21.143,2.782,7.212,16.429,8.057,7.888,0.32,47.266,7.618,9.786,19.12,2.339,8.499,15.795,7.7,7.602,0.457,16.063,3.418,982.666626,142.2118583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1206,1688,1006,2397,1297,2004,1693,1595,1664,1772,1678,,
2355,Pickens,South Carolina,1986,1990,1990,4,-82.72,34.88,0,0,4,9,14,19,24,28,79292,85462,93896,102763,111062,114344,119217,120368,1.008381714,105747,7854,34.9,1317.62,90.484,314,-12,326,1484,11,328,337.67,2.01,2.02,3.84,1.5,33.68,23.83,19.04,0,8.63,4.71,0.52,0.01,2.32,14.06,0.99,47.66,11.49,1.57,0.7,18.76,0.01,0.63,0,2.321,14.055,0.993,47.665,11.486,1.565,0.701,18.762,0.006,0.63,0.001,66.832,2.372,47.143,10.588,1.515,1.441,18.852,0.014,0.612,0.013,14.476,1.33,1319.666626,167.0442737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973,902,658,1340,929,1018,924,886,1267,1229,1355,,
2361,Williamsburg,South Carolina,1986,1990,1990,4,-79.72,33.62,0,0,4,9,14,19,24,28,38226,37749,36815,37502,37145,35193,34358,32695,0.995209051,10939,22637,40.2,2423.19,14.206,329,8,321,1250,25,233,19.53,1.61,0.2,0.5,0.28,10.78,26.52,9.59,0,2.21,23.1,21.52,0.1,0.33,4.35,0.14,0.85,21.99,0.91,11.13,8.29,13.23,36.58,1.8,0.326,4.347,0.144,0.848,21.986,0.915,11.131,8.294,13.23,36.58,1.802,65.882,0.332,0.787,19.569,0.806,13.487,8.536,13.101,36.052,2.321,4.335,0.178,1243.333374,203.2236275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4416,4711,4899,946,5249,4390,4562,5862,4670,4283,4308,,
1942,Jones,North Carolina,1987,1990,1990,3,-77.36,35.02,0,0,3,8,13,18,23,27,9705,9384,9361,10104,10289,10053,10153,10076,1.001981587,6395,3289,44.1,1229.17,8.26,317,2,316,1338,26,244,15.19,3.76,0.39,0.37,0.23,3.97,35.64,4.23,0,2.63,16.92,32.23,0.26,0.41,3.57,0.04,0.35,25.3,4.1,7.16,3.18,19.78,34.78,1.21,0.409,3.569,0.045,0.355,25.297,4.103,7.165,3.184,19.776,34.783,1.211,64.05,0.495,0.271,18.24,3.344,12.378,5.789,19.635,33.356,2.675,3.569,0.052,1519,245.6008087,,,,,,,,,,,,,,,,,,,,,,,538,457,572,521,684,826,818,1143,1187,1189,1176,1453,1191,1391,1366,1266,1391,1417,1325,1165,1136,1228,1278,1079,1175,1189,1016,929,929,948,1048,1234,1130,1043,1087,1001,1012,1010,835,883,
1979,Tyrrell,North Carolina,1987,1990,1990,3,-76.22,35.81,0,0,3,8,13,18,23,27,3975,4017,3856,3851,4126,4280,4417,4115,1.006321441,2403,1683,41.5,987.86,4.461,311,4,307,1290,22,253,6.53,3.73,4.73,0.04,0.08,0.34,11.11,0.94,0,5.35,24.09,52.97,0.24,4.75,2.66,0.02,0.03,5.07,0.09,0.79,0.59,28.22,54.9,2.93,4.753,2.656,0.025,0.031,5.07,0.085,0.79,0.593,28.216,54.903,2.929,60.076,4.736,0.02,1.646,0.056,3.636,1.079,28.29,53.426,4.429,2.683,0.032,1635.166748,162.0376397,,,,,,,,,,,,,,,,,,,,,,,90,90,86,75,82,82,78,113,128,154,174,253,206,283,256,327,313,409,424,434,467,564,712,536,469,564,426,323,457,457,437,517,454,442,494,440,415,431,313,309,
2352,Newberry,South Carolina,1987,1990,1990,3,-81.59,34.28,0,0,3,8,13,18,23,27,31242,32541,33172,34732,35958,36399,37575,37783,1.006379792,23301,11626,39.9,1670.61,22.452,330,-6,337,1204,15,251,139.72,2.61,3.11,0.9,0.83,23.16,35.91,12.98,0,10.59,6.84,0.77,0.08,3.22,6.66,0.31,21.01,40.52,1.18,0.7,21.49,0.03,3.13,0,3.223,6.656,0.306,21.011,40.524,1.176,0.704,21.49,0.029,3.133,0.001,66.535,3.261,21.679,39.783,1.044,2.297,19.862,0.181,3.08,0.071,6.742,0.396,1474.166748,102.9957426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3195,3614,3015,2146,3823,3301,3048,3228,3570,4363,3081,,
326,Broward,Florida,1988,1990,1990,2,-80.49,26.15,0,0,2,7,12,17,22,26,1018257,1132921,1255531,1447124,1630600,1746896,1748066,1869235,1.000133916,1102231,467519,39.6,3136.59,557.314,326,129,197,1470,52,165,6.5,0,3.01,10,11.16,0,0.72,0,0.08,3.76,1.03,15.23,51.27,1.26,18.78,8.52,0,0.1,0,0.13,2.26,0.47,10.64,57.16,1.255,18.781,8.521,0,0.097,0.001,0.131,2.265,0.47,10.642,57.163,7.97,1.272,0,0.096,0.001,0.104,2.089,0.217,10.084,57.103,18.531,9.777,1117.833252,159.4552069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35,0,149,70,65,256,85,28,89,,
330,Clay,Florida,1988,1990,1990,2,-81.85,29.99,0,0,2,7,12,17,22,26,67052,87109,105986,122772,141629,169418,190865,199798,1.024125899,156087,18831,37.8,1705.71,111.898,329,60,269,1303,41,198,31.27,0.65,7.87,7.62,2.43,0,40.64,0,2.37,8.05,1.91,15.43,2.21,7.3,14.12,1.06,0.28,34.32,1.37,15.79,7.53,0.3,14.19,1.38,7.299,14.119,1.055,0.275,34.324,1.371,15.791,7.531,0.305,14.186,1.383,48.398,7.193,0.227,29.618,1.26,17.907,8.753,0.27,13.988,1.508,14.893,1.824,1829.333374,221.4151872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930,1402,3242,1637,561,65,1396,761,619,1106,,
337,Flagler,Florida,1988,1990,1990,2,-84.8,29.89,0,0,2,7,12,17,22,26,10913,16675,28701,40013,50579,77008,95696,102408,1.025193573,78710,10884,47.5,1280.87,74.712,325,75,250,1296,39,202,11.9,0,3.4,3.89,1.56,0,50.75,0,0.69,7.13,2.6,19.33,4.69,3.05,11.48,0.4,0.09,28.8,0.16,8.2,9.34,2.09,26.48,8.83,3.053,11.481,0.402,0.085,28.799,0.163,8.201,9.344,2.091,26.483,8.834,45.736,3.144,0.082,23.456,0.139,12.732,9.395,2.07,26.486,8.578,11.861,0.944,1954.5,194.7143136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320,1963,783,670,1192,390,540,244,408,558,,
345,Hendry,Florida,1988,1990,1990,2,-82.42,28.55,0,0,2,7,12,17,22,26,18599,22393,25773,31916,36255,38201,39140,38505,1.01913448,23436,5261,32.8,3106.17,12.601,331,105,226,1301,60,139,11.24,0,2.04,2.51,0.61,0,5.25,0,0.88,34.87,17.26,10.61,12.21,1.99,3.55,0.17,0,1.73,0.06,1.32,19.31,37.91,23.33,9.74,1.993,3.552,0.165,0,1.726,0.06,1.319,19.311,37.906,23.334,9.744,17.272,2.033,0,1.726,0.06,1.316,19.185,37.872,22.77,10.333,3.552,0.219,1222.333374,157.2190724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,456,1342,744,561,1105,965,472,834,521,,
348,Hillsborough,Florida,1988,1990,1990,2,-85.81,30.87,0,0,2,7,12,17,22,26,646939,756424,834054,906385,1003435,1143154,1229226,1316298,1.00410487,876137,205073,36,2785.16,441.348,328,95,232,1264,55,166,24.99,0,4.05,14.54,10.67,0,6.61,0,0.54,22.94,7.36,16.62,4.71,2.97,24.74,8.67,0.12,4.45,0.14,4.58,15.2,7.71,25.59,2.94,2.969,24.742,8.667,0.124,4.449,0.137,4.577,15.197,7.712,25.587,2.944,31.208,3.77,0.122,4.406,0.132,4.64,13.906,6.966,23.865,3.046,25.463,10.561,1238.666626,236.3955392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,140,335,447,561,780,1028,1868,3530,1547,,
350,Indian River,Florida,1988,1990,1990,2,-85.21,30.8,0,0,2,7,12,17,22,26,59896,75879,90208,101929,113323,127955,138028,144755,1.007465417,116346,12397,49,1275.02,108.256,325,108,216,1263,42,171,11.05,0,6.33,4.1,3.67,0,6.78,0,0.17,17.61,5.76,14.55,17.29,5.41,12.45,1.3,0.01,1.86,0.1,2.03,9.16,30.85,27.31,8.72,5.409,12.454,1.295,0.014,1.862,0.104,2.025,9.157,30.854,27.315,8.721,23.699,5.459,0.015,1.858,0.102,2.031,8.939,29.888,26.333,9.19,13.176,2.008,1138.5,136.3590465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0,447,372,0,390,2096,3617,2623,2632,,
365,Nassau,Florida,1988,1990,1990,2,-81.83,30.61,0,0,2,7,12,17,22,26,32894,37707,43941,50763,57957,65568,73314,76619,1.022584006,65809,4668,42.9,1602.07,45.762,334,50,284,1314,37,205,16.19,1.78,1.56,2.3,0.55,0,49.32,0,1.01,2.71,0.47,26.68,4.9,1.01,5.84,0.19,0.15,39.01,1.84,13.1,9.14,0.37,23.37,4.84,1.006,5.844,0.194,0.154,39.013,1.837,13.096,9.143,0.371,23.369,4.844,63.471,1.03,0.143,35.201,1.692,16.61,8.867,0.346,22.635,5.39,6.385,0.469,2159,207.6848157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440,1437,2348,2679,1822,260,1337,1142,1301,1808,,
367,Okeechobee,Florida,1988,1990,1990,2,-80.89,27.39,0,0,2,7,12,17,22,26,20264,25084,29627,31910,35917,39247,39996,39149,1.003788045,31009,3203,38.5,2297.57,17.408,328,101,227,1209,53,145,15.98,0,11.3,1.77,0.87,0,5.5,0,0.29,48.33,3.64,9.7,13.01,10.58,4.1,0.23,0,1.49,0.14,8.5,41.11,4.81,20.98,7.23,10.581,4.103,0.228,0,1.487,0.143,8.501,41.106,4.808,20.982,7.234,15.247,10.526,0,1.483,0.143,8.504,40.877,4.883,20.202,8.085,4.151,0.295,1185.5,140.7400117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,736,224,447,631,1170,800,1268,334,1049,,
369,Osceola,Florida,1988,1990,1990,2,-81.15,28.06,0,0,2,7,12,17,22,26,49287,77015,107728,138824,174146,228026,268685,310211,1.03336039,190641,30369,35.6,3902.3,68.853,329,95,234,1231,49,165,22.1,0,8.77,3,1.73,0,11.16,0,0.45,35.89,3.97,18.92,11.58,8.09,6.48,0.75,0.02,2.38,0.17,13.3,30.24,2.21,29.28,6.2,8.094,6.476,0.747,0.019,2.38,0.169,13.3,30.237,2.214,29.28,6.199,23.035,8.06,0.019,2.321,0.167,13.176,29.605,2.235,28.07,6.993,7.025,1.331,1219,141.6846817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440,1788,1453,1637,2103,3836,2211,2111,1349,1844,,
373,Polk,Florida,1988,1990,1990,2,-81.7,27.95,10,15,20,25,30,35,40,44,321652,363802,405382,447182,485515,547373,602095,634638,1.019239697,452854,88833,39.8,5279.96,114.034,333,92,241,1244,53,165,39.73,0,7.54,6.63,4.17,0,7.99,0,1.26,21.28,10.06,19.58,9,6.78,13.28,1.84,0.01,3.64,0.1,10.14,21.26,9.46,25.77,4.83,6.783,13.279,1.836,0.007,3.639,0.104,10.142,21.26,9.465,25.772,4.831,28.671,7.37,0.007,3.684,0.103,10.183,20.792,8.843,24.09,5.712,13.727,2.547,1124,149.806106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1087,2012,1861,841,2471,4036,2723,1166,1975,,
1903,Cabarrus,North Carolina,1998,2000,2000,2,-80.55,35.39,0,0,0,0,2,7,12,16,85895,92230,98935,111484,132231,150797,178588,192103,1.034408104,134149,27219,36.5,923.27,192.804,320,-21,340,1146,11,257,200.12,2.99,0.51,5.95,3.93,26.05,17.01,11.71,0,11.93,19.74,1.32,0.15,0.78,18.96,2.29,31.29,12.33,1.19,0.65,30.21,0.47,1.07,0.01,0.783,18.963,2.292,31.292,12.327,1.194,0.65,30.211,0.475,1.067,0.009,51.815,1.921,29.185,11.65,1.076,1.496,27.957,0.46,0.93,0.056,20.987,3.52,1150,64.45019099,,,,,,,,,,,,,,,,,,,,,,,0,1,0,4,13,8,2,11,21,16,14,28,53,56,81,116,117,221,259,343,370,349,401,440,418,438,406,471,552,584,602,584,563,530,565,599,632,703,764,737,
1939,Iredell,North Carolina,1988,1990,1990,2,-80.87,35.8,0,0,2,7,12,17,22,26,82538,87100,93205,104653,123563,140514,159771,166675,1.026019633,128646,19047,38.7,1559.92,102.208,312,-31,343,1178,10,266,273.17,5.12,3.55,3.13,2.06,21.03,19.38,12.04,0,20.63,15.88,0.44,0.08,3.37,13.22,1.24,32.82,6.42,1.4,1.53,38.71,0.25,0.36,0.01,3.368,13.224,1.238,32.821,6.418,1.401,1.528,38.714,0.25,0.359,0.014,47.599,3.693,31.72,6.234,1.291,2.327,37.099,0.349,0.392,0.019,14.406,1.764,1100,90.67049205,,,,,,,,,,,,,,,,,,,,,,,48,49,57,118,118,112,161,194,274,315,354,413,401,537,594,769,904,1037,970,1134,1177,1041,1067,1062,830,812,647,929,947,999,995,903,936,974,1022,992,955,1022,1137,1020,
